engine,config,benchmark,scenario,run_id,date,hostname,cpu_scaling_enabled,implementation,layout,vector_policy,baseline_variant,kernel,benchmark_args,arg0,arg1,arg2,name,run_name,run_type,aggregate_name,repetition_index,repetitions,threads,iterations,real_time_ms,cpu_time_ms,time_unit,items_per_second,ns_per_interaction,json_path
april,native,april_vs_hardcoded,default,20260630_002507,2026-06-30T00:25:07+02:00,cm4r15c06s04,True,April,AoS,Scalar,,"BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>",16/500,16,500,,"BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000_mean","BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000",aggregate,mean,,10,1,10,4221.785356743891,4221.0719638,ms,993616004.274044,1.0066277386198867,results\april\native\april_vs_hardcoded\default\20260630_002507\april_vs_hardcoded.json
april,native,april_vs_hardcoded,default,20260630_002507,2026-06-30T00:25:07+02:00,cm4r15c06s04,True,April,SoA,Scalar,,"BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>",16/500,16,500,,"BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000_mean","BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000",aggregate,mean,,10,1,10,5008.1203583401675,5007.395946500001,ms,837432417.0905689,1.1941477665455205,results\april\native\april_vs_hardcoded\default\20260630_002507\april_vs_hardcoded.json
april,native,april_vs_hardcoded,default,20260630_002507,2026-06-30T00:25:07+02:00,cm4r15c06s04,True,April,AoSoA<,Scalar,,"BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Scalar>",16/500,16,500,,"BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000_mean","BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000",aggregate,mean,,10,1,10,4866.236429040156,4865.361441199993,ms,861864144.1687874,1.1602758320932522,results\april\native\april_vs_hardcoded\default\20260630_002507\april_vs_hardcoded.json
april,native,april_vs_hardcoded,default,20260630_002507,2026-06-30T00:25:07+02:00,cm4r15c06s04,True,April,SoA,Auto,,"BM_April_DirectSum<Layout::SoA, VectorPolicy::Auto>",16/500,16,500,,"BM_April_DirectSum<Layout::SoA, VectorPolicy::Auto>/16/500/min_time:5.000/min_warmup_time:2.000_mean","BM_April_DirectSum<Layout::SoA, VectorPolicy::Auto>/16/500/min_time:5.000/min_warmup_time:2.000",aggregate,mean,,10,1,10,1436.3400457098635,1436.0888430800014,ms,2920146633.400103,0.3424738732161938,results\april\native\april_vs_hardcoded\default\20260630_002507\april_vs_hardcoded.json
april,native,april_vs_hardcoded,default,20260630_002507,2026-06-30T00:25:07+02:00,cm4r15c06s04,True,April,AoSoA<,Auto,,"BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Auto>",16/500,16,500,,"BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Auto>/16/500/min_time:5.000/min_warmup_time:2.000_mean","BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Auto>/16/500/min_time:5.000/min_warmup_time:2.000",aggregate,mean,,10,1,10,1419.5100215448842,1419.300767700006,ms,2954609613.3107266,0.33847030670501516,results\april\native\april_vs_hardcoded\default\20260630_002507\april_vs_hardcoded.json
april,native,april_vs_hardcoded,default,20260630_002507,2026-06-30T00:25:07+02:00,cm4r15c06s04,True,April,AoSoA<16,Auto,,"BM_April_DirectSum<Layout::AoSoA<16>, VectorPolicy::Auto>",16/500,16,500,,"BM_April_DirectSum<Layout::AoSoA<16>, VectorPolicy::Auto>/16/500_mean","BM_April_DirectSum<Layout::AoSoA<16>, VectorPolicy::Auto>/16/500",aggregate,mean,,10,1,10,1482.5577871472428,1482.3142389000054,ms,2839046047.212109,0.3534975577352348,results\april\native\april_vs_hardcoded\default\20260630_002507\april_vs_hardcoded.json
april,native,april_vs_hardcoded,default,20260630_002507,2026-06-30T00:25:07+02:00,cm4r15c06s04,True,April,AoSoA<32,Auto,,"BM_April_DirectSum<Layout::AoSoA<32>, VectorPolicy::Auto>",16/500,16,500,,"BM_April_DirectSum<Layout::AoSoA<32>, VectorPolicy::Auto>/16/500_mean","BM_April_DirectSum<Layout::AoSoA<32>, VectorPolicy::Auto>/16/500",aggregate,mean,,10,1,10,1641.8276309935354,1641.5257527999984,ms,2554501739.7534776,0.3914658102487786,results\april\native\april_vs_hardcoded\default\20260630_002507\april_vs_hardcoded.json
april,native,april_vs_hardcoded,default,20260630_002507,2026-06-30T00:25:07+02:00,cm4r15c06s04,True,Handcoded,AoS,Scalar,AoS_Scalar,BM_Baseline_Handcoded_AoS_Scalar,16/500,16,500,,BM_Baseline_Handcoded_AoS_Scalar/16/500/min_time:5.000/min_warmup_time:2.000_mean,BM_Baseline_Handcoded_AoS_Scalar/16/500/min_time:5.000/min_warmup_time:2.000,aggregate,mean,,10,1,10,5700.01231942197,5699.2262410000085,ms,735763509.3016086,1.3591332419967201,results\april\native\april_vs_hardcoded\default\20260630_002507\april_vs_hardcoded.json
april,native,april_vs_hardcoded,default,20260630_002507,2026-06-30T00:25:07+02:00,cm4r15c06s04,True,Handcoded,SoA,Scalar,SoA_Scalar,BM_Baseline_Handcoded_SoA_Scalar,16/500,16,500,,BM_Baseline_Handcoded_SoA_Scalar/16/500/min_time:5.000/min_warmup_time:2.000_mean,BM_Baseline_Handcoded_SoA_Scalar/16/500/min_time:5.000/min_warmup_time:2.000,aggregate,mean,,10,1,10,5953.879459474769,5953.038171200012,ms,704444773.1986878,1.4196614991605645,results\april\native\april_vs_hardcoded\default\20260630_002507\april_vs_hardcoded.json
april,native,april_vs_hardcoded,default,20260630_002507,2026-06-30T00:25:07+02:00,cm4r15c06s04,True,Handcoded,SoA,Scalar,SoA_Scalar_Restrict,BM_Baseline_Handcoded_SoA_Scalar_Restrict,16/500,16,500,,BM_Baseline_Handcoded_SoA_Scalar_Restrict/16/500/min_time:5.000/min_warmup_time:2.000_mean,BM_Baseline_Handcoded_SoA_Scalar_Restrict/16/500/min_time:5.000/min_warmup_time:2.000,aggregate,mean,,10,1,10,5892.587536306637,5891.778626000018,ms,711831177.6759708,1.4050525187919762,results\april\native\april_vs_hardcoded\default\20260630_002507\april_vs_hardcoded.json
april,native,april_vs_hardcoded,default,20260630_002507,2026-06-30T00:25:07+02:00,cm4r15c06s04,True,Handcoded,SoA,Scalar,SoA_Scalar_LocalAcc,BM_Baseline_Handcoded_SoA_Scalar_LocalAcc,16/500,16,500,,BM_Baseline_Handcoded_SoA_Scalar_LocalAcc/16/500/min_time:5.000/min_warmup_time:2.000_mean,BM_Baseline_Handcoded_SoA_Scalar_LocalAcc/16/500/min_time:5.000/min_warmup_time:2.000,aggregate,mean,,10,1,10,4421.726016597919,4421.119053799992,ms,948465750.9832375,1.0543343286878033,results\april\native\april_vs_hardcoded\default\20260630_002507\april_vs_hardcoded.json
april,native,april_vs_hardcoded,default,20260630_002507,2026-06-30T00:25:07+02:00,cm4r15c06s04,True,Handcoded,SoA,Scalar,SoA_Scalar_RestrictLocalAcc,BM_Baseline_Handcoded_SoA_Scalar_RestrictLocalAcc,16/500,16,500,,BM_Baseline_Handcoded_SoA_Scalar_RestrictLocalAcc/16/500/min_time:5.000/min_warmup_time:2.000_mean,BM_Baseline_Handcoded_SoA_Scalar_RestrictLocalAcc/16/500/min_time:5.000/min_warmup_time:2.000,aggregate,mean,,10,1,10,4421.234545863725,4420.612397100001,ms,948574458.7625421,1.0542135028187958,results\april\native\april_vs_hardcoded\default\20260630_002507\april_vs_hardcoded.json
april,native,april_vs_hardcoded,default,20260630_002507,2026-06-30T00:25:07+02:00,cm4r15c06s04,True,Handcoded,AoS,Scalar,AoS_Scalar_Batched,BM_Baseline_Handcoded_AoS_Scalar_Batched,16/500/512,16,500,512,BM_Baseline_Handcoded_AoS_Scalar_Batched/16/500/512/min_time:5.000/min_warmup_time:2.000_mean,BM_Baseline_Handcoded_AoS_Scalar_Batched/16/500/512/min_time:5.000/min_warmup_time:2.000,aggregate,mean,,10,1,10,4059.5963487838044,4059.0294679499775,ms,1033076276.3251587,0.967984362587277,results\april\native\april_vs_hardcoded\default\20260630_002507\april_vs_hardcoded.json
april,native,april_vs_hardcoded,default,20260630_002507,2026-06-30T00:25:07+02:00,cm4r15c06s04,True,Handcoded,SoA,Scalar,SoA_Scalar_Batched,BM_Baseline_Handcoded_SoA_Scalar_Batched,16/500/512,16,500,512,BM_Baseline_Handcoded_SoA_Scalar_Batched/16/500/512/min_time:5.000/min_warmup_time:2.000_mean,BM_Baseline_Handcoded_SoA_Scalar_Batched/16/500/512/min_time:5.000/min_warmup_time:2.000,aggregate,mean,,10,1,10,4856.718744705338,4856.043896000012,ms,863521717.7899885,1.1580538137210037,results\april\native\april_vs_hardcoded\default\20260630_002507\april_vs_hardcoded.json
april,native,april_vs_hardcoded,default,20260630_002507,2026-06-30T00:25:07+02:00,cm4r15c06s04,True,Handcoded,SoA,Scalar,SoA_Scalar_BatchedLocalAcc,BM_Baseline_Handcoded_SoA_Scalar_BatchedLocalAcc,16/500/512,16,500,512,BM_Baseline_Handcoded_SoA_Scalar_BatchedLocalAcc/16/500/512/min_time:5.000/min_warmup_time:2.000_mean,BM_Baseline_Handcoded_SoA_Scalar_BatchedLocalAcc/16/500/512/min_time:5.000/min_warmup_time:2.000,aggregate,mean,,10,1,10,4288.873670831221,4288.274151000076,ms,977847932.0077083,1.022653901242005,results\april\native\april_vs_hardcoded\default\20260630_002507\april_vs_hardcoded.json
april,native,april_vs_hardcoded,default,20260630_002507,2026-06-30T00:25:07+02:00,cm4r15c06s04,True,Handcoded,SoA,SIMD,SoA_Rotate_SIMD,BM_Baseline_Handcoded_SoA_Rotate_SIMD,16/500,16,500,,BM_Baseline_Handcoded_SoA_Rotate_SIMD/16/500/min_time:5.000/min_warmup_time:2.000_mean,BM_Baseline_Handcoded_SoA_Rotate_SIMD/16/500/min_time:5.000/min_warmup_time:2.000,aggregate,mean,,10,1,10,1435.347995763696,1435.1444014399976,ms,2921852408.865031,0.3422486457951765,results\april\native\april_vs_hardcoded\default\20260630_002507\april_vs_hardcoded.json
april,native,april_vs_hardcoded,default,20260630_002507,2026-06-30T00:25:07+02:00,cm4r15c06s04,True,Handcoded,SoA,SIMD,SoA_Rotate_SIMD_Batched,BM_Baseline_Handcoded_SoA_Rotate_SIMD_Batched,16/500,16,500,,BM_Baseline_Handcoded_SoA_Rotate_SIMD_Batched/16/500/min_time:5.000/min_warmup_time:2.000_mean,BM_Baseline_Handcoded_SoA_Rotate_SIMD_Batched/16/500/min_time:5.000/min_warmup_time:2.000,aggregate,mean,,10,1,10,1654.1812366321963,1653.918529924988,ms,2546316431.466414,0.3944212000927646,results\april\native\april_vs_hardcoded\default\20260630_002507\april_vs_hardcoded.json
april,native,april_vs_hardcoded,default,20260630_002507,2026-06-30T00:25:07+02:00,cm4r15c06s04,True,Handcoded,SoA,SIMD,SoA_Reduce_Broadcast_SIMD,BM_Baseline_Handcoded_SoA_Reduce_Broadcast_SIMD,16/500,16,500,,BM_Baseline_Handcoded_SoA_Reduce_Broadcast_SIMD/16/500/min_time:5.000/min_warmup_time:2.000_mean,BM_Baseline_Handcoded_SoA_Reduce_Broadcast_SIMD/16/500/min_time:5.000/min_warmup_time:2.000,aggregate,mean,,10,1,10,2153.374570551378,2152.971773033308,ms,1947730209.8152688,0.5134338210263345,results\april\native\april_vs_hardcoded\default\20260630_002507\april_vs_hardcoded.json
