engine,config,scenario,run_id,scaling,n,particles,rho,dt,steps,bx,by,bz,schedule,layout,executor,ordering,threads,total_cores,integration_time_s,performance_mups,mups_computed,avg_step_time_s,median_step_time_s,std_deviation_s,wall_time_seconds,speedup,parallel_efficiency
april,native,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t1,20260426_153629,strong,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,1,1,158.76076,3.15,3.149392834854154,0.317522,0.317399,0.000656,175.17855,1.0,1.0
april,native,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t2,20260426_153629,strong,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,2,2,80.10047,6.24,6.242160626523165,0.160201,0.160156,0.000507,88.814308,1.980952380952381,0.9904761904761905
april,native,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t3,20260426_153629,strong,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,3,3,53.74978,9.3,9.302363656186127,0.1075,0.107422,0.001073,59.840723,2.9523809523809526,0.9841269841269842
april,native,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t4,20260426_153629,strong,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,4,4,40.79396,12.26,12.256716435472311,0.081588,0.081559,0.000247,45.739566,3.892063492063492,0.973015873015873
april,native,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t6,20260426_153629,strong,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,6,6,27.54818,18.15,18.150019347920622,0.055096,0.055061,0.000211,31.022254,5.761904761904762,0.9603174603174603
april,native,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t8,20260426_153629,strong,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,8,8,20.94992,23.87,23.86643958544949,0.0419,0.041875,0.000138,23.76202,7.577777777777778,0.9472222222222223
april,native,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t11,20260426_153629,strong,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,11,11,15.53786,32.18,32.17946358121389,0.031076,0.031056,0.000178,17.833142,10.215873015873017,0.9287157287157288
april,native,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t16,20260426_153629,strong,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,16,16,11.16924,44.77,44.765803223854086,0.022338,0.022325,0.000113,13.040127,14.212698412698414,0.8882936507936509
april,native,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t23,20260426_153629,strong,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,23,23,8.27346,60.43,60.43420769545027,0.016547,0.016536,0.000139,9.860703,19.184126984126983,0.8340924775707385
april,native,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t32,20260426_153629,strong,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,32,32,6.39312,78.21,78.20907475536202,0.012786,0.01276,6.7e-05,7.799621,24.828571428571426,0.775892857142857
april,native,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t37,20260426_153629,strong,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,37,37,5.88313,84.99,84.98877298308892,0.011766,0.011644,0.000908,7.226158,26.98095238095238,0.7292149292149293
april,native,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t45,20260426_153629,strong,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,45,45,5.29024,94.51,94.51367045729494,0.01058,0.010288,0.000579,6.567234,30.003174603174607,0.6667372134038801
april,native,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t50,20260426_153629,strong,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,50,50,5.13858,97.3,97.30314600531663,0.010277,0.0099,0.000972,6.393198,30.88888888888889,0.6177777777777778
april,native,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t56,20260426_153629,strong,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,56,56,5.02097,99.58,99.58235161731696,0.010042,0.009635,0.000969,6.386996,31.612698412698414,0.5645124716553288
april,native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_NativeSpinExecutor_hilbert_t1,20260426_135651,strong,100,1000000,0.8442,0.005,500,2,2,2,C08,SoA,NativeSpinExecutor,hilbert,1,1,188.86937,2.65,2.6473323864001874,0.377739,0.378452,0.005159,205.23507,1.0,1.0
april,native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_NativeSpinExecutor_hilbert_t2,20260426_135651,strong,100,1000000,0.8442,0.005,500,2,2,2,C08,SoA,NativeSpinExecutor,hilbert,2,2,100.51849,4.97,4.974209222601732,0.201037,0.201105,0.002782,109.612735,1.8754716981132076,0.9377358490566038
april,native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_NativeSpinExecutor_hilbert_t3,20260426_135651,strong,100,1000000,0.8442,0.005,500,2,2,2,C08,SoA,NativeSpinExecutor,hilbert,3,3,67.94481,7.36,7.358913800774481,0.13589,0.136054,0.002032,74.327247,2.777358490566038,0.9257861635220127
april,native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_NativeSpinExecutor_hilbert_t4,20260426_135651,strong,100,1000000,0.8442,0.005,500,2,2,2,C08,SoA,NativeSpinExecutor,hilbert,4,4,52.61853,9.5,9.502355919103024,0.105237,0.10542,0.0013,57.62914,3.5849056603773586,0.8962264150943396
april,native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_NativeSpinExecutor_hilbert_t6,20260426_135651,strong,100,1000000,0.8442,0.005,500,2,2,2,C08,SoA,NativeSpinExecutor,hilbert,6,6,36.19162,13.82,13.815352835822216,0.072383,0.072464,0.000941,39.929576,5.215094339622642,0.869182389937107
april,native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_NativeSpinExecutor_hilbert_t8,20260426_135651,strong,100,1000000,0.8442,0.005,500,2,2,2,C08,SoA,NativeSpinExecutor,hilbert,8,8,28.17032,17.75,17.74917714814741,0.056341,0.05638,0.000729,31.129508,6.69811320754717,0.8372641509433962
april,native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_NativeSpinExecutor_hilbert_t11,20260426_135651,strong,100,1000000,0.8442,0.005,500,2,2,2,C08,SoA,NativeSpinExecutor,hilbert,11,11,21.60735,23.14,23.14027402712503,0.043215,0.043224,0.000556,24.005149,8.732075471698113,0.7938250428816467
april,native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_NativeSpinExecutor_hilbert_t16,20260426_135651,strong,100,1000000,0.8442,0.005,500,2,2,2,C08,SoA,NativeSpinExecutor,hilbert,16,16,16.26838,30.73,30.734467722047302,0.032537,0.032566,0.000387,18.208434,11.59622641509434,0.7247641509433963
april,native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_NativeSpinExecutor_hilbert_t23,20260426_135651,strong,100,1000000,0.8442,0.005,500,2,2,2,C08,SoA,NativeSpinExecutor,hilbert,23,23,12.39218,40.35,40.348025932483225,0.024784,0.024755,0.000262,14.102471,15.226415094339623,0.6620180475799836
april,native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_NativeSpinExecutor_hilbert_t32,20260426_135651,strong,100,1000000,0.8442,0.005,500,2,2,2,C08,SoA,NativeSpinExecutor,hilbert,32,32,10.08153,49.6,49.59564669251592,0.020163,0.020121,0.000253,11.574855,18.71698113207547,0.5849056603773585
april,native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_NativeSpinExecutor_hilbert_t37,20260426_135651,strong,100,1000000,0.8442,0.005,500,2,2,2,C08,SoA,NativeSpinExecutor,hilbert,37,37,9.39678,53.21,53.20971651991427,0.018794,0.018749,0.000287,10.755013,20.079245283018867,0.5426823049464559
april,native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_NativeSpinExecutor_hilbert_t45,20260426_135651,strong,100,1000000,0.8442,0.005,500,2,2,2,C08,SoA,NativeSpinExecutor,hilbert,45,45,8.60258,58.12,58.122098254244655,0.017205,0.017194,0.000266,9.963208,21.932075471698113,0.4873794549266247
april,native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_NativeSpinExecutor_hilbert_t50,20260426_135651,strong,100,1000000,0.8442,0.005,500,2,2,2,C08,SoA,NativeSpinExecutor,hilbert,50,50,8.39831,59.54,59.53578755725854,0.016797,0.016737,0.000349,9.645055,22.467924528301886,0.4493584905660377
april,native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_NativeSpinExecutor_hilbert_t56,20260426_135651,strong,100,1000000,0.8442,0.005,500,2,2,2,C08,SoA,NativeSpinExecutor,hilbert,56,56,8.25009,60.61,60.60539945624836,0.0165,0.016459,0.000564,9.464323,22.871698113207547,0.40842318059299193
april,native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t1,20260426_131439,strong,100,1000000,0.8442,0.005,500,2,2,2,C08,SoA,OmpExecutor,hilbert,1,1,188.71681,2.65,2.649472508569851,0.377434,0.378471,0.004863,205.463745,1.0,1.0
april,native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t1,20260426_150823,strong,100,1000000,0.8442,0.005,500,2,2,2,C08,SoA,OmpExecutor,hilbert,1,1,189.04932,2.64,2.64481247539002,0.378099,0.378828,0.005075,205.488258,0.9962264150943397,0.9962264150943397
april,native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t2,20260426_131439,strong,100,1000000,0.8442,0.005,500,2,2,2,C08,SoA,OmpExecutor,hilbert,2,2,96.66189,5.17,5.172669394318691,0.193324,0.193745,0.002655,105.385004,1.950943396226415,0.9754716981132076
april,native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t2,20260426_150823,strong,100,1000000,0.8442,0.005,500,2,2,2,C08,SoA,OmpExecutor,hilbert,2,2,96.49339,5.18,5.181702083427683,0.192987,0.193369,0.002542,105.206039,1.9547169811320755,0.9773584905660377
april,native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t3,20260426_131439,strong,100,1000000,0.8442,0.005,500,2,2,2,C08,SoA,OmpExecutor,hilbert,3,3,65.4307,7.64,7.641672792741022,0.130861,0.131063,0.001763,71.517405,2.883018867924528,0.961006289308176
april,native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t3,20260426_150823,strong,100,1000000,0.8442,0.005,500,2,2,2,C08,SoA,OmpExecutor,hilbert,3,3,65.31106,7.66,7.65567118341059,0.130622,0.130732,0.002045,71.388103,2.8905660377358493,0.9635220125786165
april,native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t4,20260426_150823,strong,100,1000000,0.8442,0.005,500,2,2,2,C08,SoA,OmpExecutor,hilbert,4,4,49.91248,10.02,10.017534692726148,0.099825,0.099888,0.001601,54.695456,3.781132075471698,0.9452830188679245
april,native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t4,20260426_131439,strong,100,1000000,0.8442,0.005,500,2,2,2,C08,SoA,OmpExecutor,hilbert,4,4,50.03543,9.99,9.99291901758414,0.100071,0.100168,0.001407,54.816232,3.7698113207547173,0.9424528301886793
april,native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t6,20260426_131439,strong,100,1000000,0.8442,0.005,500,2,2,2,C08,SoA,OmpExecutor,hilbert,6,6,34.20495,14.62,14.617767311456385,0.06841,0.068521,0.000938,37.689919,5.516981132075472,0.919496855345912
april,native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t6,20260426_150823,strong,100,1000000,0.8442,0.005,500,2,2,2,C08,SoA,OmpExecutor,hilbert,6,6,34.32548,14.57,14.566438692190175,0.068651,0.068728,0.000918,37.799019,5.49811320754717,0.9163522012578617
april,native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t8,20260426_131439,strong,100,1000000,0.8442,0.005,500,2,2,2,C08,SoA,OmpExecutor,hilbert,8,8,26.42125,18.92,18.92416142309694,0.052843,0.052841,0.001226,29.242572,7.139622641509435,0.8924528301886794
april,native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t8,20260426_150823,strong,100,1000000,0.8442,0.005,500,2,2,2,C08,SoA,OmpExecutor,hilbert,8,8,26.4131,18.93,18.930000643620023,0.052826,0.052907,0.000726,29.232737,7.143396226415095,0.8929245283018868
april,native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t11,20260426_150823,strong,100,1000000,0.8442,0.005,500,2,2,2,C08,SoA,OmpExecutor,hilbert,11,11,20.14753,24.82,24.816937857891265,0.040295,0.040335,0.000549,22.433247,9.366037735849057,0.8514579759862779
