engine,kind,config,benchmark,scenario,run_id,scaling,mode,n,particles,rho,dt,steps,ranks,threads,total_cores,bind,loop_time_s,performance_mups,avg_step_time_s,timesteps_per_second,matom_step_per_second,cpu_use_percent,pair_time_s,neigh_time_s,comm_time_s,modify_time_s,total_neighbors,neighbor_list_builds,pair_ns_per_interaction,pair_interactions_per_second,wall_time_s,hostname,run_date,pkg_openmp,pkg_intel,extra_cxx_flags,lammps_commit,benchmark_repo_commit,command,result_dir,speedup,parallel_efficiency
lammps,scaling,openmp-native,argon_block,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t1_bindclose,20260426_173411,strong,threads,100,1000000,0.8442,1e-07,500,1,1,1,close,69.2512,7.22,0.1385024,unknown,7.22,99.9,62.974,0.0,0.79675,3.7039,40000000.0,0.0,3.1487,317591386.9215867,81.007081,cm4r15c06s08,2026-04-26T17:34:15+02:00,ON,OFF,-O3 -DNDEBUG -fno-math-errno -ffast-math -fopenmp -march=native,unknown,unknown,build/lammps-openmp-native/install/bin/lmp -in engines/lammps/argon_block.in -var datafile results/lammps/openmp-native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t1_bindclose/20260426_173411/argon_grid_n100_rho0.8442.data -var rho 0.8442 -var n 100 -var steps 500 -var dt 0.0000001 -sf omp -pk omp 1,results/lammps/openmp-native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t1_bindclose/20260426_173411,1.0,1.0
lammps,scaling,openmp-native,argon_block,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t2_bindclose,20260426_173411,strong,threads,100,1000000,0.8442,1e-07,500,1,2,2,close,38.2928,13.057,0.0765856,unknown,13.057,199.4,32.885,0.0,0.9589,2.6044,40000000.0,0.0,1.6442499999999998,608180021.2863008,45.666081,cm4r15c06s08,2026-04-26T17:35:38+02:00,ON,OFF,-O3 -DNDEBUG -fno-math-errno -ffast-math -fopenmp -march=native,unknown,unknown,build/lammps-openmp-native/install/bin/lmp -in engines/lammps/argon_block.in -var datafile results/lammps/openmp-native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t2_bindclose/20260426_173411/argon_grid_n100_rho0.8442.data -var rho 0.8442 -var n 100 -var steps 500 -var dt 0.0000001 -sf omp -pk omp 2,results/lammps/openmp-native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t2_bindclose/20260426_173411,1.808448753462604,0.904224376731302
lammps,scaling,openmp-native,argon_block,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t3_bindclose,20260426_173411,strong,threads,100,1000000,0.8442,1e-07,500,1,3,3,close,27.3462,18.284,0.0546924,unknown,18.284,299.2,22.231,0.0,1.0017,2.238,40000000.0,0.0,1.11155,899644640.3670549,33.114548,cm4r15c06s08,2026-04-26T17:36:26+02:00,ON,OFF,-O3 -DNDEBUG -fno-math-errno -ffast-math -fopenmp -march=native,unknown,unknown,build/lammps-openmp-native/install/bin/lmp -in engines/lammps/argon_block.in -var datafile results/lammps/openmp-native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t3_bindclose/20260426_173411/argon_grid_n100_rho0.8442.data -var rho 0.8442 -var n 100 -var steps 500 -var dt 0.0000001 -sf omp -pk omp 3,results/lammps/openmp-native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t3_bindclose/20260426_173411,2.532409972299169,0.8441366574330563
lammps,scaling,openmp-native,argon_block,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t4_bindclose,20260426_173411,strong,threads,100,1000000,0.8442,1e-07,500,1,4,4,close,21.8439,22.89,0.0436878,unknown,22.89,398.6,16.978,0.0,1.0304,1.9751,40000000.0,0.0,0.8489000000000001,1177995052.4207797,26.855978,cm4r15c06s08,2026-04-26T17:37:01+02:00,ON,OFF,-O3 -DNDEBUG -fno-math-errno -ffast-math -fopenmp -march=native,unknown,unknown,build/lammps-openmp-native/install/bin/lmp -in engines/lammps/argon_block.in -var datafile results/lammps/openmp-native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t4_bindclose/20260426_173411/argon_grid_n100_rho0.8442.data -var rho 0.8442 -var n 100 -var steps 500 -var dt 0.0000001 -sf omp -pk omp 4,results/lammps/openmp-native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t4_bindclose/20260426_173411,3.1703601108033244,0.7925900277008311
lammps,scaling,openmp-native,argon_block,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t6_bindclose,20260426_173411,strong,threads,100,1000000,0.8442,1e-07,500,1,6,6,close,16.4822,30.336,0.0329644,unknown,30.336,597.7,11.763,0.0,1.0468,1.8021,40000000.0,0.0,0.58815,1700246535.7476835,20.743641,cm4r15c06s08,2026-04-26T17:37:30+02:00,ON,OFF,-O3 -DNDEBUG -fno-math-errno -ffast-math -fopenmp -march=native,unknown,unknown,build/lammps-openmp-native/install/bin/lmp -in engines/lammps/argon_block.in -var datafile results/lammps/openmp-native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t6_bindclose/20260426_173411/argon_grid_n100_rho0.8442.data -var rho 0.8442 -var n 100 -var steps 500 -var dt 0.0000001 -sf omp -pk omp 6,results/lammps/openmp-native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t6_bindclose/20260426_173411,4.201662049861496,0.7002770083102493
lammps,scaling,openmp-native,argon_block,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t8_bindclose,20260426_173411,strong,threads,100,1000000,0.8442,1e-07,500,1,8,8,close,13.9699,35.791,0.0279398,unknown,35.791,796.4,9.2166,0.0,1.0701,1.8053,40000000.0,0.0,0.46083,2169997613.002626,17.894594,cm4r15c06s08,2026-04-26T17:37:53+02:00,ON,OFF,-O3 -DNDEBUG -fno-math-errno -ffast-math -fopenmp -march=native,unknown,unknown,build/lammps-openmp-native/install/bin/lmp -in engines/lammps/argon_block.in -var datafile results/lammps/openmp-native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t8_bindclose/20260426_173411/argon_grid_n100_rho0.8442.data -var rho 0.8442 -var n 100 -var steps 500 -var dt 0.0000001 -sf omp -pk omp 8,results/lammps/openmp-native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t8_bindclose/20260426_173411,4.957202216066482,0.6196502770083102
lammps,scaling,openmp-native,argon_block,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t11_bindclose,20260426_173411,strong,threads,100,1000000,0.8442,1e-07,500,1,11,11,close,12.1436,41.174,0.0242872,unknown,41.174,1093.9,7.2754,0.0,1.0632,1.9229,40000000.0,0.0,0.36377,2748989746.268246,15.820554,cm4r15c06s08,2026-04-26T17:38:13+02:00,ON,OFF,-O3 -DNDEBUG -fno-math-errno -ffast-math -fopenmp -march=native,unknown,unknown,build/lammps-openmp-native/install/bin/lmp -in engines/lammps/argon_block.in -var datafile results/lammps/openmp-native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t11_bindclose/20260426_173411/argon_grid_n100_rho0.8442.data -var rho 0.8442 -var n 100 -var steps 500 -var dt 0.0000001 -sf omp -pk omp 11,results/lammps/openmp-native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t11_bindclose/20260426_173411,5.702770083102493,0.5184336439184084
lammps,scaling,openmp-native,argon_block,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t16_bindclose,20260426_173411,strong,threads,100,1000000,0.8442,1e-07,500,1,16,16,close,11.1457,44.86,0.0222914,unknown,44.86,1589.9,5.9085,0.0,1.0598,2.2845,40000000.0,0.0,0.295425,3384953880.003385,14.725693,cm4r15c06s08,2026-04-26T17:38:30+02:00,ON,OFF,-O3 -DNDEBUG -fno-math-errno -ffast-math -fopenmp -march=native,unknown,unknown,build/lammps-openmp-native/install/bin/lmp -in engines/lammps/argon_block.in -var datafile results/lammps/openmp-native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t16_bindclose/20260426_173411/argon_grid_n100_rho0.8442.data -var rho 0.8442 -var n 100 -var steps 500 -var dt 0.0000001 -sf omp -pk omp 16,results/lammps/openmp-native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t16_bindclose/20260426_173411,6.213296398891967,0.38833102493074795
lammps,scaling,openmp-native,argon_block,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t23_bindclose,20260426_173411,strong,threads,100,1000000,0.8442,1e-07,500,1,23,23,close,11.284,44.311,0.022568,unknown,44.311,2286.3,5.4013,0.0,1.0658,2.9029,40000000.0,0.0,0.270065,3702812285.9311647,14.938092,cm4r15c06s08,2026-04-26T17:38:47+02:00,ON,OFF,-O3 -DNDEBUG -fno-math-errno -ffast-math -fopenmp -march=native,unknown,unknown,build/lammps-openmp-native/install/bin/lmp -in engines/lammps/argon_block.in -var datafile results/lammps/openmp-native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t23_bindclose/20260426_173411/argon_grid_n100_rho0.8442.data -var rho 0.8442 -var n 100 -var steps 500 -var dt 0.0000001 -sf omp -pk omp 23,results/lammps/openmp-native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t23_bindclose/20260426_173411,6.137257617728532,0.2668372877273275
lammps,scaling,openmp-native,argon_block,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t32_bindclose,20260426_173411,strong,threads,100,1000000,0.8442,1e-07,500,1,32,32,close,12.2864,40.695,0.0245728,unknown,40.695,3183.7,5.7515,0.0,1.1008,3.472,40000000.0,0.0,0.287575,3477353733.808572,16.119808,cm4r15c06s08,2026-04-26T17:39:04+02:00,ON,OFF,-O3 -DNDEBUG -fno-math-errno -ffast-math -fopenmp -march=native,unknown,unknown,build/lammps-openmp-native/install/bin/lmp -in engines/lammps/argon_block.in -var datafile results/lammps/openmp-native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t32_bindclose/20260426_173411/argon_grid_n100_rho0.8442.data -var rho 0.8442 -var n 100 -var steps 500 -var dt 0.0000001 -sf omp -pk omp 32,results/lammps/openmp-native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t32_bindclose/20260426_173411,5.636426592797784,0.17613833102493076
lammps,scaling,openmp-native,argon_block,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t37_bindclose,20260426_173411,strong,threads,100,1000000,0.8442,1e-07,500,1,37,37,close,12.6255,39.602,0.025251,unknown,39.602,3680.4,6.1011,0.0,1.1305,3.4078,40000000.0,0.0,0.305055,3278097392.2735248,16.540574,cm4r15c06s08,2026-04-26T17:39:22+02:00,ON,OFF,-O3 -DNDEBUG -fno-math-errno -ffast-math -fopenmp -march=native,unknown,unknown,build/lammps-openmp-native/install/bin/lmp -in engines/lammps/argon_block.in -var datafile results/lammps/openmp-native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t37_bindclose/20260426_173411/argon_grid_n100_rho0.8442.data -var rho 0.8442 -var n 100 -var steps 500 -var dt 0.0000001 -sf omp -pk omp 37,results/lammps/openmp-native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t37_bindclose/20260426_173411,5.485041551246537,0.14824436624990642
lammps,scaling,openmp-native,argon_block,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t45_bindclose,20260426_173411,strong,threads,100,1000000,0.8442,1e-07,500,1,45,45,close,13.4379,37.208,0.0268758,unknown,37.208,4472.4,6.8843,0.0,1.1494,3.3636,40000000.0,0.0,0.344215,2905161018.5494533,17.530755,cm4r15c06s08,2026-04-26T17:39:40+02:00,ON,OFF,-O3 -DNDEBUG -fno-math-errno -ffast-math -fopenmp -march=native,unknown,unknown,build/lammps-openmp-native/install/bin/lmp -in engines/lammps/argon_block.in -var datafile results/lammps/openmp-native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t45_bindclose/20260426_173411/argon_grid_n100_rho0.8442.data -var rho 0.8442 -var n 100 -var steps 500 -var dt 0.0000001 -sf omp -pk omp 45,results/lammps/openmp-native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t45_bindclose/20260426_173411,5.153462603878117,0.11452139119729147
lammps,scaling,openmp-native,argon_block,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t50_bindclose,20260426_173411,strong,threads,100,1000000,0.8442,1e-07,500,1,50,50,close,14.724,33.958,0.029448,unknown,33.958,4969.6,7.6305,0.0,1.1916,3.7401,40000000.0,0.0,0.381525,2621060218.8585286,19.00048,cm4r15c06s08,2026-04-26T17:40:00+02:00,ON,OFF,-O3 -DNDEBUG -fno-math-errno -ffast-math -fopenmp -march=native,unknown,unknown,build/lammps-openmp-native/install/bin/lmp -in engines/lammps/argon_block.in -var datafile results/lammps/openmp-native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t50_bindclose/20260426_173411/argon_grid_n100_rho0.8442.data -var rho 0.8442 -var n 100 -var steps 500 -var dt 0.0000001 -sf omp -pk omp 50,results/lammps/openmp-native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t50_bindclose/20260426_173411,4.703324099722992,0.09406648199445984
lammps,scaling,openmp-native,argon_block,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t56_bindclose,20260426_173411,strong,threads,100,1000000,0.8442,1e-07,500,1,56,56,close,16.7072,29.927,0.0334144,unknown,29.927,5564.8,8.6019,0.0,1.3108,4.3719,40000000.0,0.0,0.430095,2325067717.597275,21.283533,cm4r15c06s08,2026-04-26T17:40:21+02:00,ON,OFF,-O3 -DNDEBUG -fno-math-errno -ffast-math -fopenmp -march=native,unknown,unknown,build/lammps-openmp-native/install/bin/lmp -in engines/lammps/argon_block.in -var datafile results/lammps/openmp-native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t56_bindclose/20260426_173411/argon_grid_n100_rho0.8442.data -var rho 0.8442 -var n 100 -var steps 500 -var dt 0.0000001 -sf omp -pk omp 56,results/lammps/openmp-native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t56_bindclose/20260426_173411,4.145013850415513,0.07401810447170558
lammps,scaling,openmp-native,argon_block,strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t1_bindclose,20260426_163052,strong,threads,100,1000000,0.8442,0.005,500,1,1,1,close,267.794,1.867,0.535588,unknown,1.867,100.0,147.36,112.59,1.8875,4.1931,37710977.0,84.0,7.81523109305813,127955269.40825188,290.947033,cm4r15c06s08,2026-04-26T16:30:56+02:00,ON,OFF,-O3 -DNDEBUG -fno-math-errno -ffast-math -fopenmp -march=native,unknown,unknown,build/lammps-openmp-native/install/bin/lmp -in engines/lammps/argon_block.in -var datafile results/lammps/openmp-native/argon_block/strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t1_bindclose/20260426_163052/argon_grid_n100_rho0.8442.data -var rho 0.8442 -var n 100 -var steps 500 -var dt 0.005 -sf omp -pk omp 1,results/lammps/openmp-native/argon_block/strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t1_bindclose/20260426_163052,0.9983957219251336,0.9983957219251336
lammps,scaling,openmp-native,argon_block,strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t1_bindclose,20260426_160927,strong,threads,100,1000000,0.8442,0.005,500,1,1,1,close,267.383,1.87,0.534766,unknown,1.87,100.0,147.1,112.57,1.8901,4.0588,37710977.0,84.0,7.801442004538891,128181430.9993202,290.530422,cm4r15c06s08,2026-04-26T16:09:31+02:00,ON,OFF,-O3 -DNDEBUG -fno-math-errno -ffast-math -fopenmp -march=native,unknown,unknown,build/lammps-openmp-native/install/bin/lmp -in engines/lammps/argon_block.in -var datafile results/lammps/openmp-native/argon_block/strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t1_bindclose/20260426_160927/argon_grid_n100_rho0.8442.data -var rho 0.8442 -var n 100 -var steps 500 -var dt 0.005 -sf omp -pk omp 1,results/lammps/openmp-native/argon_block/strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t1_bindclose/20260426_160927,1.0,1.0
lammps,scaling,openmp-native,argon_block,strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t2_bindclose,20260426_163052,strong,threads,100,1000000,0.8442,0.005,500,1,2,2,close,138.868,3.601,0.277736,unknown,3.601,199.7,75.332,57.13,2.0574,2.6688,37710977.0,84.0,3.9952292935820783,250298525.19513625,152.058352,cm4r15c06s08,2026-04-26T16:35:49+02:00,ON,OFF,-O3 -DNDEBUG -fno-math-errno -ffast-math -fopenmp -march=native,unknown,unknown,build/lammps-openmp-native/install/bin/lmp -in engines/lammps/argon_block.in -var datafile results/lammps/openmp-native/argon_block/strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t2_bindclose/20260426_163052/argon_grid_n100_rho0.8442.data -var rho 0.8442 -var n 100 -var steps 500 -var dt 0.005 -sf omp -pk omp 2,results/lammps/openmp-native/argon_block/strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t2_bindclose/20260426_163052,1.9256684491978608,0.9628342245989304
lammps,scaling,openmp-native,argon_block,strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t2_bindclose,20260426_160927,strong,threads,100,1000000,0.8442,0.005,500,1,2,2,close,138.794,3.602,0.277588,unknown,3.602,199.8,75.378,57.004,2.0453,2.6832,37710977.0,84.0,3.997668901550867,250145778.6091433,151.986666,cm4r15c06s08,2026-04-26T16:14:24+02:00,ON,OFF,-O3 -DNDEBUG -fno-math-errno -ffast-math -fopenmp -march=native,unknown,unknown,build/lammps-openmp-native/install/bin/lmp -in engines/lammps/argon_block.in -var datafile results/lammps/openmp-native/argon_block/strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t2_bindclose/20260426_160927/argon_grid_n100_rho0.8442.data -var rho 0.8442 -var n 100 -var steps 500 -var dt 0.005 -sf omp -pk omp 2,results/lammps/openmp-native/argon_block/strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t2_bindclose/20260426_160927,1.9262032085561496,0.9631016042780748
lammps,scaling,openmp-native,argon_block,strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t3_bindclose,20260426_163052,strong,threads,100,1000000,0.8442,0.005,500,1,3,3,close,94.9174,5.268,0.1898348,unknown,5.268,299.6,50.639,38.327,2.0855,2.2125,37710977.0,84.0,2.6856371289452405,372351122.652501,104.642142,cm4r15c06s08,2026-04-26T16:38:23+02:00,ON,OFF,-O3 -DNDEBUG -fno-math-errno -ffast-math -fopenmp -march=native,unknown,unknown,build/lammps-openmp-native/install/bin/lmp -in engines/lammps/argon_block.in -var datafile results/lammps/openmp-native/argon_block/strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t3_bindclose/20260426_163052/argon_grid_n100_rho0.8442.data -var rho 0.8442 -var n 100 -var steps 500 -var dt 0.005 -sf omp -pk omp 3,results/lammps/openmp-native/argon_block/strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t3_bindclose/20260426_163052,2.8171122994652404,0.9390374331550801
lammps,scaling,openmp-native,argon_block,strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t3_bindclose,20260426_160927,strong,threads,100,1000000,0.8442,0.005,500,1,3,3,close,94.923,5.267,0.189846,unknown,5.267,299.6,50.636,38.314,2.0803,2.2418,37710977.0,84.0,2.6854780240777107,372373183.1108303,104.654802,cm4r15c06s08,2026-04-26T16:16:58+02:00,ON,OFF,-O3 -DNDEBUG -fno-math-errno -ffast-math -fopenmp -march=native,unknown,unknown,build/lammps-openmp-native/install/bin/lmp -in engines/lammps/argon_block.in -var datafile results/lammps/openmp-native/argon_block/strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t3_bindclose/20260426_160927/argon_grid_n100_rho0.8442.data -var rho 0.8442 -var n 100 -var steps 500 -var dt 0.005 -sf omp -pk omp 3,results/lammps/openmp-native/argon_block/strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t3_bindclose/20260426_160927,2.8165775401069517,0.9388591800356506
